Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bhuvanes,87,0,87,0,0,87,11698,27,43254
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,christur,15,7,22,0,0,25,23752,3,27105
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,11,0,11,0,0,12,15687,3,5982
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,lohitv,5,9,14,0,1,14,21880,2,22296
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,17,0,17,0,2,24,24293,3,16605
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sanjanak,2,0,2,0,0,2,3,"2,400",90
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,shafath,2,0,2,0,0,5,5819,1,2710
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,shirink,16,0,16,0,3,21,13171,4,4053
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sunilrd,0,2,2,0,0,2,7691,1,3473
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sushimd,9,0,9,0,0,9,18683,2,8557
2014-09-02,2014-09-06,2014-09,SMB-WebHosting-Tech-phone-FL,SMB - Agents,arunya,1,0,1,0,0,,,,7
2014-09-02,2014-09-06,2014-09,SMB-YSBPhoneTickets-Phone-FL,SMB - Agents,maryjert,1,0,1,0,0,,,,64
2014-09-03,2014-09-06,2014-09,AMR-EN-Mail-Abuse-T1,SMB - Agents,shirink,1,0,1,0,0,2,1518,2,218
2014-09-03,2014-09-06,2014-09,SMB-Abuse-Abuse-FL,SMB - Agents,shirink,1,0,1,0,0,1,52,69,6
2014-09-03,2014-09-06,2014-09,SMB-AbuseE2Y-Abuse-ET,SMB - Agents,shirink,1,0,1,0,0,1,66,55,107
2014-09-03,2014-09-06,2014-09,SMB-BillingEscalations-Billing-ET,SMB - Escalation Team,abduljab,1,0,1,0,0,1,25,144,41
2014-09-03,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,arunya,19,0,19,0,0,19,9843,7,10893
2014-09-03,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,azmathm,11,0,11,0,0,11,7957,5,6548
2014-09-03,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,dainva,2,0,2,0,0,4,11110,1,568
2014-09-03,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,haritas,2,0,2,0,0,3,1451,5,655
2014-09-03,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,jitender,5,0,5,0,0,5,2428,7,699
2014-09-03,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,7,3176,8,1710
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arifha,23,0,23,0,0,23,13175,6,15696
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arunya,14,1,15,0,1,15,3002,18,14839
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,ashishk1,8,0,8,1,0,9,10118,3,3865
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,azmathm,2,0,2,0,0,2,205,35,871
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,bhuvanes,7,0,7,0,0,7,877,29,4227
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,jitender,6,0,6,0,0,6,5914,4,4657
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,raghavsa,27,0,27,0,0,27,14520,7,17388
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,shirink,31,0,31,0,3,32,22358,5,22132
2014-09-03,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,240,15,1109
2014-09-03,2014-09-06,2014-09,SMB-LocalBasic-Tech-FL,SMB - Agents,lohitv,0,4,4,0,0,4,12132,1,121044
2014-09-03,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,haritas,7,0,7,0,0,,,,4883
2014-09-03,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,lohitv,27,0,27,0,0,,,,5185
2014-09-03,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,24,0,24,0,0,,,,17345
2014-09-03,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,,,,2646
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,arifha,1,0,1,0,0,1,97,37,15
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,dainva,2,0,2,0,0,2,1634,4,98
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,haritas,3,1,4,0,0,4,10652,1,3438
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,lohitv,1,0,1,0,0,2,2155,2,765
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,maryjert,6,0,6,1,0,6,18079,1,1187
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,shafath,2,0,2,0,0,2,42,171,4
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,suganyab,1,0,1,1,0,1,719,5,24
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,289,12,86
2014-09-03,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-phone-FL,SMB - Agents,ashishk1,0,1,1,1,0,,,,1507
2014-09-03,2014-09-06,2014-09,SMB-SMBOther-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,1915,2,315
2014-09-03,2014-09-06,2014-09,SMB-SocialMedia-Tech-FL,SMB - Agents,dainva,41,0,41,0,0,41,15441,10,40822
2014-09-03,2014-09-06,2014-09,SMB-TechSupport-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,408,9,439
2014-09-03,2014-09-06,2014-09,SMB-TechSupport-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,930,4,1096
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,amreenb,25,0,25,0,0,25,30132,3,5462
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,6,0,6,0,0,6,1842,12,1066
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,1,0,1,0,0,1,36,100,18
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,6,0,6,0,1,6,3160,7,5304
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,9,0,9,0,0,10,9724,3,4059
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,18,0,18,0,0,17,13999,5,13894
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bharath1,27,0,27,1,0,27,26868,4,22651
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bhuvanes,8,0,8,0,0,11,3739,8,2884
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,christur,8,0,8,0,0,8,10566,3,6471
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,22,0,22,0,0,22,19527,4,12373
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,754,5,733
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,jitender,7,0,7,0,0,8,2884,9,2938
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,15,0,15,0,0,15,13239,4,8434
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sindhupk,13,0,13,0,0,13,7123,7,3892
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,6,6057,4,6668
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sushimd,17,0,17,0,0,18,23853,3,3905
2014-09-03,2014-09-06,2014-09,SMB-WebHosting-Tech-phone-FL,SMB - Agents,arunya,1,0,1,0,0,,,,0
2014-09-04,2014-09-06,2014-09,SMB-BillingEscalations-Billing-ET,SMB - Escalation Team,abduljab,1,0,1,0,0,1,24,150,25
2014-09-04,2014-09-06,2014-09,SMB-BusinessMail-Tech-ET,SMB - Escalation Team,abduljab,0,1,1,0,0,2,1799,2,2010
2014-09-04,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,ancilava,29,0,29,0,0,30,14673,7,13507
2014-09-04,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,haritas,5,0,5,0,0,4,5179,3,2112
2014-09-04,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,jitender,1,0,1,0,0,1,247,15,186
2014-09-04,2014-09-06,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,7,2260,11,4096
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-ET,SMB - Escalation Team,abduljab,1,1,2,0,0,2,1492,5,3001
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,ancilava,1,0,1,0,0,1,115,31,637
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arifha,10,0,10,0,0,10,8225,4,6471
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,ashishk1,52,0,52,0,1,55,27919,7,39718
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,deenavb,3,0,3,0,0,3,88,123,1096
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,839,4,975
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,raghavsa,17,0,17,0,0,19,17725,3,16150
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,sunilrd,3,1,4,0,0,4,4338,3,4805
