Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,3,1,4,0,0,4,"1,577",9,"2,531"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,26,6,32,0,0,32,"8,039",14,"23,870"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,3,16,19,0,0,20,"13,545",5,"39,085"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,0,18,18,0,1,20,"20,199",3,"50,943"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,0,12,12,0,0,12,"7,162",6,"31,994"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bhuvanes,6,9,15,0,0,17,"8,692",6,"22,072"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,christur,1,27,28,0,0,30,"16,083",6,"66,982"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,4,3,7,0,0,6,"5,455",5,"12,756"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,eshanan,1,0,1,0,0,1,31,116,450
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,haritas,4,0,4,0,0,4,"6,735",2,"2,820"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,0,10,10,0,0,11,"15,597",2,"27,542"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,raghavsa,1,7,8,0,0,8,"5,296",5,"22,121"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sanjanak,13,2,15,0,0,15,"7,033",8,"8,708"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,suganyab,0,1,1,0,0,1,"7,118",1,"1,852"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sunilrd,0,5,5,0,0,5,"8,715",2,"12,449"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,thahasee,0,3,3,0,0,4,"6,144",2,"8,965"
9/1/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-phone-FL,SMB - Agents,amreenb,1,0,1,0,0,,,,2
9/2/2014,9/6/2014,2014-09,AP-EN-Wallet-Billing-T1,SMB - Agents,bhuvanes,1,0,1,0,0,1,845,4,551
9/2/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,amreenb,7,0,7,0,0,7,"9,064",3,"1,008"
9/2/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,azmathm,30,0,30,0,0,30,"16,050",7,"16,630"
9/2/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,bhuvanes,1,0,1,0,0,3,621,6,99
9/2/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,amreenb,19,0,19,0,2,19,"10,743",6,"1,038"
9/2/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arunya,62,0,62,0,1,62,"3,308",67,"37,230"
9/2/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,lohitv,20,0,20,0,0,,,,"1,514"
9/2/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,41,1,42,0,1,,,,"23,946"
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,arifha,3,0,3,0,0,4,973,11,560
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,dainva,5,0,5,0,0,6,"31,804",1,"1,357"
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,lohitv,1,0,1,0,0,1,737,5,12
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sanjanak,6,0,6,0,0,6,36,600,130
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sunilrd,5,0,5,0,1,5,"4,147",4,"1,156"
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-phone-FL,SMB - Agents,bhuvanes,1,0,1,0,1,,,,31
9/2/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-phone-FL,SMB - Agents,thahasee,0,1,1,0,0,,,,"4,788"
9/2/2014,9/6/2014,2014-09,SMB-SocialMedia-Tech-FL,SMB - Agents,sanjanak,6,0,6,0,0,6,4,"5,400","1,316"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,21,0,21,0,0,21,"5,844",13,"4,259"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,3,0,3,0,0,4,"5,918",2,"2,402"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,30,0,30,0,0,30,"17,119",6,"29,458"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,25,3,28,0,1,32,"18,340",5,"17,078"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,0,5,5,0,0,5,"7,682",2,"7,730"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bharath1,10,0,10,0,0,10,"15,575",2,"9,154"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bhuvanes,87,0,87,0,0,87,"11,698",27,"43,254"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,christur,15,7,22,0,0,25,"23,752",3,"27,105"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,11,0,11,0,0,12,"15,687",3,"5,982"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,lohitv,5,9,14,0,1,14,"21,880",2,"22,296"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,17,0,17,0,2,24,"24,293",3,"16,605"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sanjanak,2,0,2,0,0,2,3,"2,400",90
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,shafath,2,0,2,0,0,5,"5,819",1,"2,710"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,shirink,16,0,16,0,3,21,"13,171",4,"4,053"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sunilrd,0,2,2,0,0,2,"7,691",1,"3,473"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sushimd,9,0,9,0,0,9,"18,683",2,"8,557"
9/2/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-phone-FL,SMB - Agents,arunya,1,0,1,0,0,,,,7
9/2/2014,9/6/2014,2014-09,SMB-YSBPhoneTickets-Phone-FL,SMB - Agents,maryjert,1,0,1,0,0,,,,64
9/3/2014,9/6/2014,2014-09,AMR-EN-Mail-Abuse-T1,SMB - Agents,shirink,1,0,1,0,0,2,"1,518",2,218
9/3/2014,9/6/2014,2014-09,SMB-Abuse-Abuse-FL,SMB - Agents,shirink,1,0,1,0,0,1,52,69,6
9/3/2014,9/6/2014,2014-09,SMB-AbuseE2Y-Abuse-ET,SMB - Agents,shirink,1,0,1,0,0,1,66,55,107
9/3/2014,9/6/2014,2014-09,SMB-BillingEscalations-Billing-ET,SMB - Escalation Team,abduljab,1,0,1,0,0,1,25,144,41
9/3/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,arunya,19,0,19,0,0,19,"9,843",7,"10,893"
9/3/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,azmathm,11,0,11,0,0,11,"7,957",5,"6,548"
9/3/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,dainva,2,0,2,0,0,4,"11,110",1,568
9/3/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,haritas,2,0,2,0,0,3,"1,451",5,655
9/3/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,jitender,5,0,5,0,0,5,"2,428",7,699
9/3/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,7,"3,176",8,"1,710"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arifha,23,0,23,0,0,23,"13,175",6,"15,696"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arunya,14,1,15,0,1,15,"3,002",18,"14,839"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,ashishk1,8,0,8,1,0,9,"10,118",3,"3,865"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,azmathm,2,0,2,0,0,2,205,35,871
